id,edad,sexo,i1,ir2,ir3,i4,ir5,i6,ir7,i8,ir9,i10,ir11,i12,i13,ir14,i15,ir16,ir17,i18,i19,ir20,ir21,i22,ir23,i24,ir25,i26,ir27,i28,ir29,i30,ir31,i32,i33,i34,i35,ir36,ir37,i38,i39,ir40,ir41,i42,ir43,i44,ir45,i46,ir47,i48,i49,ir50,i51,i52,ir53,i54,ir55,i56,i57,i58,i59,i60
100,20,0,3,2,3,3,2,2,3,2,3,4,1,4,3,4,3,4,2,4,2,3,3,2,4,3,2,2,4,2,3,4,4,4,4,3,3,1,2,1,3,4,2,2,1,1,4,4,3,4,3,4,4,2,1,3,2,3,2,2,2,1
101,18,0,2,1,2,3,2,1,2,2,3,4,3,2,3,3,4,4,3,4,2,4,4,1,1,2,2,2,4,3,4,3,4,4,4,4,3,2,1,1,2,1,1,2,2,1,1,4,1,4,2,3,2,2,3,2,2,1,3,1,2,1
102,18,0,1,3,2,2,3,2,2,1,3,2,4,3,3,2,4,2,2,4,2,2,2,1,2,2,1,1,2,2,2,2,3,2,2,3,2,2,1,2,1,2,1,2,1,1,2,3,1,3,2,3,2,2,2,2,2,1,3,1,2,1
103,19,1,1,4,2,4,2,3,1,4,1,4,1,3,3,4,3,4,2,4,2,3,3,2,3,2,2,2,1,4,4,3,3,2,4,3,2,1,1,3,1,1,3,1,1,1,1,3,3,1,4,3,3,4,2,3,1,2,1,2,2,2
104,20,1,2,4,3,2,2,2,3,3,3,2,1,4,4,2,3,2,1,3,2,1,2,2,2,1,1,1,4,3,3,3,2,4,4,2,1,2,2,1,2,3,2,1,2,2,2,2,1,3,2,3,4,2,2,2,3,3,3,3,2,2
105,20,1,2,2,3,2,3,2,1,2,3,3,3,2,2,3,3,4,1,4,2,2,2,3,2,3,2,1,2,1,2,4,4,4,2,1,1,2,1,1,2,2,2,3,1,2,2,3,4,4,1,3,2,2,4,2,1,2,1,2,2,2
106,18,0,1,2,3,4,1,3,1,3,4,2,1,4,4,4,4,4,3,2,1,2,4,1,3,1,1,1,2,1,3,1,3,1,1,1,1,1,2,1,1,4,1,1,1,1,4,2,4,4,4,4,3,1,3,1,1,3,2,1,2,2
107,20,0,2,2,3,1,2,2,2,4,1,2,3,4,2,3,2,4,1,4,2,1,2,2,3,3,1,2,4,2,3,4,2,3,3,3,2,1,1,1,2,2,1,1,1,1,1,3,1,2,4,4,1,1,2,2,1,1,2,2,3,3
108,18,1,1,3,4,1,1,3,1,2,4,4,2,2,3,3,3,4,2,4,1,1,3,1,3,2,1,1,3,1,3,4,3,3,4,2,3,1,2,1,1,1,1,3,2,1,3,4,4,4,2,3,4,1,2,1,1,1,3,1,2,1
109,20,1,1,4,3,2,3,2,3,4,2,2,3,4,4,4,3,3,3,2,2,3,4,1,3,2,2,1,3,3,4,4,3,3,2,4,2,2,2,2,3,2,2,1,3,2,2,4,1,4,4,4,1,2,2,3,2,2,1,2,2,1
110,18,1,1,2,2,3,2,2,3,4,2,2,1,4,4,3,3,3,2,3,1,2,4,1,2,1,1,1,2,1,4,3,3,3,1,2,1,1,2,1,1,2,1,2,1,1,2,2,3,3,3,4,4,2,3,1,2,2,2,1,2,1
111,19,1,2,3,3,4,2,3,1,2,2,3,4,4,2,3,3,3,3,4,2,2,1,3,2,3,2,2,3,1,3,2,3,3,2,4,3,2,1,1,2,1,1,2,1,1,3,2,1,4,2,3,2,2,1,3,2,1,1,2,3,1
112,18,0,3,2,2,2,1,3,3,1,1,3,4,2,4,2,3,1,3,4,2,3,2,2,2,1,3,3,4,2,2,2,4,3,4,3,4,3,2,2,1,2,3,2,3,3,1,3,4,3,4,4,2,3,4,2,2,3,3,3,2,2
113,18,0,2,4,2,3,4,2,3,3,1,3,4,4,2,4,3,4,3,3,2,1,2,2,2,3,2,2,3,3,2,3,3,4,2,2,1,1,1,2,1,1,2,2,1,1,3,4,2,4,3,4,1,2,1,3,2,1,4,1,3,2
114,17,0,1,2,4,4,1,2,2,2,1,3,2,3,2,4,2,4,2,2,3,2,3,2,1,1,2,1,4,4,4,1,4,1,4,4,3,1,2,1,3,2,2,2,1,1,3,4,3,4,3,4,2,2,1,2,2,2,3,2,2,2
115,20,1,1,1,4,2,1,3,2,2,4,2,3,2,3,2,2,2,3,2,3,1,3,3,2,2,1,1,3,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,4,3,4,3,1,4,1,1,3,2,1,2,1
116,19,0,1,1,4,3,1,4,1,4,4,4,3,2,3,4,3,4,2,4,1,3,4,2,3,3,1,1,3,3,3,3,4,3,4,3,3,2,2,1,3,4,1,3,1,1,3,3,4,4,3,3,4,1,1,1,1,1,4,1,4,1
117,26,0,1,3,3,2,4,3,1,4,3,3,4,4,3,4,2,3,4,2,2,2,3,2,2,2,2,2,4,2,3,3,3,2,4,4,1,2,2,1,2,3,1,2,2,1,3,4,4,4,4,3,4,2,3,2,3,1,3,2,3,2
118,18,0,1,3,4,3,2,4,1,2,4,3,2,4,4,4,,2,2,4,2,2,2,2,1,1,1,2,4,3,3,2,3,1,2,2,4,2,3,2,2,4,2,2,2,2,3,3,1,4,2,4,4,1,2,3,3,3,2,1,1,1
119,23,1,2,4,3,1,2,2,3,2,2,3,3,2,2,3,3,4,2,4,2,2,2,2,3,2,1,2,3,3,3,3,3,2,2,3,4,2,1,1,3,2,1,2,3,2,2,4,4,3,2,4,3,2,2,2,2,1,2,2,1,1
120,20,1,1,2,4,2,1,2,1,2,2,2,2,4,4,4,1,4,2,4,2,1,4,2,4,1,2,1,4,2,2,3,3,1,1,2,2,2,3,1,4,1,1,1,2,1,2,3,4,4,4,4,3,2,4,2,2,3,1,2,2,3
121,19,0,1,3,4,2,3,1,3,3,2,2,4,4,3,3,3,4,2,3,2,3,3,2,3,1,2,2,3,3,3,2,4,2,2,2,1,2,2,1,2,2,1,1,1,2,2,3,1,3,3,3,4,2,3,2,2,3,2,2,2,2
122,19,0,2,3,3,1,1,2,1,2,2,2,4,4,2,3,3,3,2,4,2,2,2,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,1,1,2,3,2,1,2,2,2,2,2,4,3,4,3,2,3,2,2,2,4,2,2,2
123,19,0,1,2,3,3,1,2,2,3,1,3,2,4,4,3,3,3,2,4,2,2,3,2,3,1,2,2,3,2,3,2,2,4,2,2,2,2,2,1,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,2,1,2,2,2,1
124,20,0,1,3,1,2,4,2,4,4,2,4,4,4,4,4,3,4,1,4,1,4,4,1,2,1,2,1,2,4,3,2,1,1,4,2,2,1,3,1,4,4,1,1,1,1,1,2,1,3,2,4,1,1,2,1,1,2,1,1,2,1
125,20,0,1,3,2,3,1,2,1,3,4,1,1,1,4,3,2,4,1,1,3,4,2,2,2,1,2,1,2,2,2,4,3,2,3,2,1,1,1,2,2,4,1,2,1,1,1,2,1,4,3,3,4,2,1,2,2,2,1,1,2,3
126,19,0,2,2,4,2,4,2,1,1,1,3,4,2,1,4,2,3,3,4,3,1,3,2,1,2,2,3,4,1,4,3,4,4,3,2,3,3,1,1,2,1,1,1,1,1,1,3,1,3,4,2,1,2,1,3,2,1,2,2,3,2
127,20,1,1,4,2,2,2,2,2,2,3,1,1,3,3,4,2,4,4,4,1,2,2,1,2,1,2,1,4,2,2,2,2,4,2,1,1,2,1,1,1,2,1,1,2,2,1,3,4,3,3,1,3,2,4,2,2,2,3,2,2,1
128,19,0,1,3,4,3,2,1,4,4,3,3,4,4,4,4,3,4,3,4,2,3,4,1,3,2,2,2,4,2,4,2,4,4,2,4,2,2,2,2,3,2,1,1,2,2,3,4,3,4,3,4,2,2,3,2,3,2,4,2,2,1
129,20,0,1,4,4,3,3,1,1,3,3,3,4,4,2,4,2,4,3,2,2,2,3,1,2,1,2,1,4,2,2,2,3,1,3,4,1,1,1,1,2,1,1,1,1,1,2,4,4,4,4,4,1,1,2,1,2,1,4,2,2,1
130,20,1,2,4,2,3,2,1,2,4,2,2,3,4,2,4,4,3,1,2,1,1,2,2,1,1,1,1,4,3,3,2,2,1,4,2,1,1,1,1,2,1,1,1,1,1,2,4,4,4,4,4,3,1,2,1,1,2,2,1,2,2
131,19,0,1,4,2,4,2,1,2,4,1,1,3,4,4,3,4,4,1,4,1,1,2,2,1,1,2,1,4,3,3,2,3,1,2,1,1,1,1,2,3,4,2,1,1,2,2,2,4,4,3,4,2,1,4,1,2,1,3,2,1,2
132,18,0,2,2,3,3,4,4,2,3,3,4,3,4,4,4,3,4,2,3,2,4,3,2,2,2,2,2,3,2,3,3,2,2,4,4,2,2,3,1,2,2,2,2,2,2,3,4,2,2,2,3,4,2,2,2,2,1,2,2,3,1
133,18,1,1,3,2,2,2,2,2,3,1,2,3,4,3,4,3,3,2,4,4,2,4,1,2,1,1,1,4,3,4,3,3,3,2,3,1,1,2,1,2,2,1,2,1,1,1,3,4,4,4,4,2,1,4,1,1,1,3,1,2,2
134,18,0,2,4,4,1,3,3,3,2,1,4,4,1,3,3,2,4,3,4,3,1,1,2,1,3,4,2,4,4,2,3,4,3,4,4,4,2,3,2,4,1,1,2,1,2,1,3,2,1,4,4,1,2,1,2,2,2,2,2,1,1
135,19,1,1,3,3,4,2,2,4,2,4,4,3,2,4,4,4,4,2,4,1,4,3,1,2,1,1,1,4,1,4,4,2,4,1,4,2,2,3,1,3,4,1,1,2,1,2,4,1,4,3,3,3,1,2,1,1,2,2,1,3,1
136,22,1,2,4,3,3,4,2,1,3,3,2,3,2,3,2,2,3,3,4,2,1,2,3,2,3,2,2,2,2,2,3,3,2,1,1,3,3,3,2,1,1,2,3,2,1,2,1,2,1,2,2,2,3,2,2,2,1,3,2,3,2
137,19,0,2,2,3,3,4,3,1,4,1,2,4,2,3,4,3,4,1,4,1,2,2,3,1,1,2,2,3,1,2,3,4,2,2,2,1,1,2,1,1,3,2,2,1,1,2,2,4,3,3,1,4,2,1,1,2,1,3,2,2,2
138,21,0,1,3,4,2,3,3,1,2,3,4,3,3,4,2,3,4,1,2,1,3,1,2,2,1,2,1,2,1,1,2,2,3,4,1,2,2,3,1,1,2,1,1,2,1,2,2,4,2,3,1,4,2,3,2,2,3,2,2,3,1
139,22,0,2,3,4,4,2,1,2,3,2,4,3,2,3,3,3,2,1,4,2,3,3,1,1,1,2,1,3,1,3,1,3,4,4,2,3,1,2,2,2,2,2,3,1,1,3,3,3,4,3,2,2,1,4,1,1,1,3,2,3,1
140,19,1,1,2,3,3,1,2,1,3,2,1,2,2,3,3,3,4,2,4,1,2,3,1,1,1,1,1,3,1,3,2,4,1,1,1,2,1,3,1,1,2,1,2,1,1,2,2,4,2,1,4,2,1,4,2,2,1,2,2,1,1
141,21,1,1,3,4,2,1,4,1,2,2,4,4,2,3,3,2,4,4,1,4,4,2,2,3,2,1,1,3,1,3,4,4,4,4,3,3,1,1,1,2,2,1,1,1,1,2,4,2,3,4,4,4,2,1,4,3,1,1,1,2,2
142,19,1,2,3,4,4,2,1,1,3,2,3,3,3,4,3,4,4,1,2,1,3,2,1,3,1,2,1,3,1,3,2,4,2,2,1,1,2,2,1,2,3,1,1,1,1,3,2,3,2,3,1,3,2,2,2,1,2,2,2,2,1
143,19,0,2,2,3,4,3,1,4,1,3,4,3,3,2,4,4,4,3,4,4,2,4,4,2,3,2,2,4,4,4,4,4,1,4,4,4,1,1,1,4,4,3,1,1,2,4,3,1,4,4,4,4,1,1,4,2,2,3,4,1,1
144,20,1,1,4,2,2,3,2,1,3,1,4,4,4,3,4,3,4,3,3,1,3,1,3,4,4,1,1,4,2,3,4,2,4,1,1,2,1,4,1,2,4,1,1,1,1,1,4,4,4,2,2,2,2,1,1,1,3,1,2,2,1
145,49,1,1,4,2,3,3,2,2,4,2,3,3,4,2,4,3,3,4,4,2,3,3,2,3,2,2,1,3,2,3,3,4,3,2,3,2,2,2,2,2,1,2,3,1,2,3,4,1,4,2,3,1,2,3,2,2,2,4,2,2,2
146,47,0,1,4,2,4,1,2,3,4,2,4,4,4,3,4,4,4,3,4,2,3,2,2,3,3,2,2,4,2,3,4,4,1,3,4,3,2,3,1,2,1,1,1,1,2,4,4,4,4,4,3,2,1,2,1,2,1,4,2,1,1
147,21,0,2,1,3,3,2,1,1,2,4,3,2,4,4,4,3,2,4,4,1,2,3,3,1,2,1,2,3,4,3,2,3,1,1,1,2,1,2,1,1,2,1,1,1,2,2,4,1,3,3,3,4,1,4,2,1,1,2,3,1,2
148,22,0,1,3,2,3,2,2,2,4,1,1,2,4,1,3,3,4,2,4,3,1,3,3,1,2,2,2,4,1,3,1,2,3,1,1,1,2,3,1,2,1,2,2,2,2,1,3,4,3,3,3,1,2,2,1,2,2,3,2,2,2
149,20,0,1,3,2,3,3,1,1,2,2,3,3,3,3,3,4,3,2,4,2,3,3,1,4,2,2,2,4,2,3,2,3,4,4,2,2,2,2,2,1,1,1,2,2,2,3,3,4,2,3,2,2,2,1,2,2,3,2,2,1,1
150,20,0,1,4,3,2,3,2,1,4,1,1,3,4,2,4,2,4,3,2,1,2,4,1,2,1,1,1,4,3,4,3,2,3,1,3,1,1,1,1,3,3,1,1,1,1,2,3,4,4,4,4,1,1,3,1,1,1,4,1,1,1
151,20,0,2,2,4,2,2,2,3,2,2,1,4,4,3,2,3,3,3,4,2,2,2,2,1,1,2,2,2,2,4,1,3,4,3,3,2,2,1,1,2,3,2,1,1,1,3,4,4,4,3,4,4,2,3,2,2,1,2,2,1,1
152,19,0,1,3,4,3,2,2,2,4,1,1,3,4,4,3,4,4,2,1,1,1,2,3,3,1,1,1,3,1,3,1,1,3,1,1,1,1,3,1,2,3,1,2,1,1,1,2,4,3,4,4,4,1,4,1,1,4,1,1,1,1
153,19,0,1,1,3,3,1,2,2,4,2,3,4,4,3,4,3,3,2,4,1,2,2,1,2,1,1,1,4,1,3,2,3,1,4,2,1,1,2,1,1,2,1,2,1,1,2,3,4,3,3,4,1,1,3,1,1,1,3,1,3,1
154,19,1,1,3,3,2,2,1,2,3,2,4,1,3,2,3,3,3,2,2,1,2,3,2,1,1,2,1,3,2,2,4,4,1,1,4,3,2,1,1,2,1,1,1,1,1,1,3,4,3,2,3,2,1,3,1,1,1,3,2,2,1
155,20,1,1,3,4,2,1,3,1,2,3,2,3,4,3,3,2,3,2,4,2,1,2,2,2,2,2,2,4,3,3,3,3,1,4,4,2,2,2,1,1,1,1,3,2,1,2,4,2,2,2,2,3,1,2,2,2,1,1,2,2,2
156,24,0,1,2,3,3,1,1,2,3,2,2,4,3,4,4,3,4,1,2,2,3,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2,1,1,1,1,2,2,2,2,1,4,3,3,3,3,2,3,2,2,2,3,3,2,2
157,19,0,2,1,2,2,1,1,2,3,1,4,2,4,4,3,2,3,1,4,1,3,2,2,1,1,1,2,3,2,4,3,4,3,4,1,2,2,1,1,2,3,2,3,1,2,3,2,4,4,2,3,4,1,3,1,2,1,2,2,2,2
158,19,0,1,3,3,2,3,3,2,3,3,3,3,4,3,3,3,3,2,4,2,2,3,1,2,1,2,2,3,1,3,3,2,4,2,2,2,1,3,1,2,2,1,1,1,2,4,3,4,4,4,3,4,2,3,1,2,3,2,1,2,2
159,19,0,1,3,3,3,2,3,2,3,3,2,4,2,3,2,3,4,1,3,2,2,1,1,1,1,3,1,3,1,2,3,2,2,3,2,1,1,2,3,1,1,1,3,1,1,3,4,1,3,2,4,3,2,2,3,2,2,3,3,4,2
160,20,0,1,4,3,3,1,2,3,4,2,4,3,4,3,4,3,4,2,4,2,2,4,1,1,1,1,1,4,4,4,4,1,4,4,4,2,1,3,2,2,3,2,1,1,1,3,4,1,4,4,3,4,1,3,1,1,2,2,1,1,1
161,19,1,2,3,2,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,2,2,3,1,2,1,2,1,4,1,3,2,3,2,2,2,1,2,2,1,2,1,2,2,1,2,3,3,3,4,4,3,2,2,3,2,2,2,2,2,2,1
162,21,1,1,4,3,2,1,3,2,2,2,2,2,3,3,3,3,4,2,4,2,2,1,1,4,1,2,1,4,3,3,3,3,3,1,3,3,2,3,1,3,3,1,2,1,1,2,2,4,2,2,3,4,2,2,1,1,2,2,1,2,2
163,19,0,2,3,3,2,2,3,2,2,1,3,3,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,2,3,2,3,2,1,1,2,2,3,3,3,4,2,4,3,2,1,2,2,2,2,2,2,2
164,18,1,1,3,1,3,3,2,1,3,3,3,4,3,3,4,3,4,3,3,2,1,1,2,1,2,2,2,3,3,2,3,3,4,2,1,1,3,3,1,3,3,2,2,3,3,4,2,2,4,1,2,2,3,2,2,2,3,2,2,2,1
165,20,0,1,2,4,2,1,2,3,2,2,3,1,1,4,4,3,4,1,2,2,4,4,3,4,2,2,2,4,3,3,2,4,4,2,2,3,2,2,1,1,2,2,2,2,2,1,4,4,4,2,4,4,2,4,2,2,2,1,2,2,2
166,18,1,1,3,3,4,4,2,1,4,1,2,2,4,3,3,4,4,3,3,1,1,3,1,2,2,1,1,4,1,3,3,3,1,3,1,1,1,2,1,2,2,1,2,1,1,2,2,1,4,2,3,4,1,2,3,1,1,2,1,2,1
167,20,1,3,2,3,2,2,2,3,2,3,3,4,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,3,4,3,3,3,2,3,2,2,2,3,3,3,2
168,18,1,1,4,4,2,1,3,1,1,2,3,4,4,4,4,2,4,2,4,1,1,2,2,3,1,3,2,4,2,3,3,3,4,1,4,3,2,2,1,2,4,1,1,2,1,3,4,1,4,3,4,4,3,3,2,2,2,4,2,2,2
169,18,0,1,3,3,3,1,3,3,2,2,,2,3,3,3,3,3,3,4,3,4,2,2,2,2,3,2,3,2,2,4,3,3,3,2,4,2,2,4,2,3,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,3,2,3,2,1
170,20,0,2,3,3,4,1,1,3,3,2,4,2,4,4,4,4,3,2,4,2,4,2,1,2,2,3,1,4,2,2,3,4,1,4,3,2,2,2,2,2,3,1,2,1,1,3,4,3,4,3,4,4,1,2,2,2,2,3,4,3,1
171,22,1,1,2,4,3,3,1,2,3,2,2,3,4,4,3,3,3,1,3,2,1,2,2,2,1,2,1,3,2,3,3,4,1,2,1,1,2,1,1,2,2,1,1,1,1,3,3,4,3,3,3,4,1,4,2,2,3,2,2,1,2
172,19,1,1,3,1,2,2,2,2,1,3,2,2,2,3,3,4,2,4,3,4,2,2,2,3,1,2,1,2,3,2,2,3,3,2,2,2,4,3,1,2,2,1,4,2,2,1,2,4,2,2,1,3,3,3,2,3,1,2,3,3,2
173,19,0,1,1,3,1,1,2,2,2,3,2,3,4,3,3,3,4,3,3,1,2,3,2,4,2,1,1,3,3,2,2,3,3,4,1,2,2,1,1,2,2,1,3,2,2,3,3,1,2,2,4,1,1,3,2,2,2,3,2,3,3
174,21,1,1,2,4,4,2,4,1,3,4,4,1,4,4,3,2,4,1,4,1,,3,1,4,1,1,1,3,1,4,1,2,3,4,1,1,2,4,2,1,4,1,3,2,1,1,3,1,1,1,1,4,1,3,1,1,3,3,1,3,1
175,27,0,1,2,2,2,3,3,2,3,3,4,4,3,3,4,3,3,2,3,2,3,3,1,2,3,2,2,4,3,3,3,4,3,3,4,3,2,2,1,3,3,1,2,2,2,3,3,2,3,2,4,3,2,2,2,2,2,3,2,2,2
176,18,1,1,4,3,3,1,2,2,3,3,3,4,4,3,4,3,3,3,3,2,2,3,2,2,2,1,1,3,3,3,3,4,4,3,4,3,1,1,2,2,2,2,2,1,1,2,4,1,4,4,4,3,2,3,2,2,3,3,2,1,2
177,18,0,2,3,4,3,1,3,2,4,4,3,2,3,4,3,3,3,2,4,3,3,3,1,2,1,2,1,4,3,2,2,2,4,3,3,1,2,2,2,1,4,2,2,1,3,3,1,4,2,3,3,4,2,3,3,2,2,2,3,2,2
178,19,1,2,4,4,3,3,3,4,2,2,4,1,4,4,4,3,3,3,4,3,1,2,2,1,2,1,1,4,2,3,3,4,3,2,4,3,1,1,2,3,2,2,1,1,2,3,3,1,4,2,4,4,2,1,1,2,1,4,2,1,1
179,21,1,1,3,3,3,3,3,1,2,2,2,4,4,3,4,4,3,2,4,1,1,3,2,1,1,2,1,4,3,4,3,3,4,4,2,1,2,2,1,1,3,1,2,1,1,4,2,3,4,3,2,4,1,1,2,2,1,4,2,2,2
180,18,0,1,4,3,2,2,1,3,3,3,2,1,3,2,4,3,2,2,4,1,1,3,2,1,2,2,2,4,2,3,3,4,1,1,3,2,2,1,1,3,2,1,1,2,2,3,3,1,5,4,5,2,2,3,2,2,2,3,2,2,2
181,19,0,2,4,2,2,2,2,4,3,1,2,4,4,4,3,3,4,3,2,3,2,3,2,2,2,2,2,4,1,3,2,4,3,2,1,1,2,3,2,2,3,1,2,1,1,2,3,1,4,3,4,1,2,2,2,2,1,4,3,1,1
182,21,1,1,4,4,3,2,2,3,3,2,4,3,4,2,3,3,4,2,4,2,3,3,1,3,2,2,1,3,1,3,2,2,3,4,3,2,2,2,1,2,3,2,2,1,2,3,3,2,4,3,3,4,2,3,3,1,3,2,2,3,1
183,21,0,2,3,4,3,2,2,2,2,1,3,3,2,4,2,3,4,2,4,3,4,2,3,3,3,2,2,3,3,4,3,4,2,2,1,3,2,2,1,3,2,2,2,1,2,2,2,1,3,3,3,4,2,2,2,2,2,2,2,2,2
184,20,0,1,3,3,3,1,2,3,3,1,3,4,3,4,3,4,1,2,1,2,2,4,2,2,1,3,2,4,1,4,3,3,1,4,1,4,1,1,1,1,1,1,1,1,2,2,3,1,4,3,4,1,1,3,2,2,2,3,2,2,2
185,18,0,1,3,3,3,2,3,2,3,2,3,3,4,3,3,4,4,3,4,2,4,3,2,4,1,3,2,3,2,2,2,3,3,2,2,2,2,3,1,2,2,2,2,2,1,3,3,1,4,3,3,2,2,2,2,2,1,1,3,3,2
186,18,1,2,4,3,2,3,1,2,2,1,3,4,2,1,3,3,2,2,2,3,3,3,2,1,1,2,1,4,2,2,4,4,3,3,4,2,2,2,1,1,1,1,2,1,2,4,2,2,4,2,3,2,2,1,2,2,2,3,3,2,2
187,24,1,1,2,3,3,2,2,1,3,1,3,3,3,4,2,3,4,3,2,3,2,2,3,4,2,3,2,3,1,2,3,2,3,2,1,3,2,2,1,1,3,2,4,2,2,2,1,2,3,3,4,3,2,2,2,2,2,1,2,2,2
188,18,0,3,3,3,2,2,2,3,2,4,3,1,3,4,4,3,4,3,4,4,2,2,1,2,2,3,3,4,2,3,3,2,3,4,3,3,2,1,1,3,3,3,2,1,2,3,2,4,4,2,4,4,2,3,3,2,2,3,4,1,2
189,18,0,1,4,3,3,2,2,1,4,2,3,3,4,2,4,4,4,3,2,3,2,3,2,3,4,2,2,4,3,3,3,2,4,1,3,1,2,3,2,2,2,2,2,1,2,2,3,2,4,4,4,1,2,1,3,2,1,2,3,2,2
190,18,1,2,4,4,1,1,2,1,1,4,2,2,4,4,2,1,4,1,4,4,3,2,3,1,2,3,3,3,4,2,1,1,1,2,3,3,3,2,3,4,1,2,2,3,1,3,2,4,3,1,4,4,3,3,4,2,2,3,4,1,1
191,21,0,1,1,4,4,4,4,1,2,1,4,4,2,1,4,1,2,2,4,2,2,3,2,1,4,2,1,4,1,4,1,4,4,4,2,4,2,1,1,2,4,2,2,2,2,2,4,1,2,4,2,1,2,1,2,2,2,2,2,3,2
192,20,0,1,2,3,2,2,2,1,1,4,1,2,4,1,4,3,4,4,4,2,1,2,1,3,1,1,1,2,3,2,3,3,1,4,3,3,1,3,2,3,3,1,4,2,1,3,3,1,2,1,3,4,2,2,1,2,1,3,1,4,1
194,38,0,1,2,3,3,1,2,3,3,1,1,4,4,3,4,3,3,3,4,1,2,2,1,3,2,1,1,3,3,4,3,3,4,2,2,2,1,2,1,2,3,1,2,1,1,2,3,1,4,3,4,2,1,2,1,1,2,3,1,1,2
195,18,0,1,4,2,3,1,2,3,3,2,2,4,4,3,4,3,4,2,4,2,1,4,2,1,1,3,1,4,2,3,3,2,4,4,3,1,2,2,1,3,4,1,2,1,1,3,4,2,4,4,4,2,2,1,2,2,3,3,3,1,2
196,19,1,2,3,4,3,2,1,3,3,2,4,2,4,4,4,3,4,3,4,1,2,3,3,4,1,3,2,4,3,3,3,4,4,4,3,2,1,2,1,2,3,2,1,1,1,2,4,4,4,3,4,3,2,3,3,2,1,3,2,2,2
197,19,1,1,4,3,2,2,2,2,3,2,2,1,3,1,3,3,3,2,4,2,2,2,2,2,2,2,2,4,3,2,1,3,3,2,3,3,2,2,1,3,3,2,2,1,1,2,3,4,2,3,3,4,2,2,2,1,1,2,2,1,1
198,21,0,3,4,3,4,1,2,1,4,3,4,4,4,3,4,2,4,3,4,2,1,3,1,2,3,2,2,4,3,4,4,3,1,4,4,2,2,3,2,3,3,3,2,3,2,4,4,4,4,2,3,2,2,2,3,2,3,3,3,2,1
199,28,1,2,4,3,1,1,3,3,4,3,1,4,3,4,3,3,4,2,3,3,4,3,2,4,1,2,2,4,3,3,4,3,2,3,4,1,2,2,1,3,4,1,1,2,2,3,4,3,4,3,2,3,2,2,1,2,3,2,3,2,3
200,22,0,1,4,3,3,2,1,2,3,2,3,2,4,3,4,4,4,3,2,3,3,4,1,3,2,2,1,4,4,4,4,3,4,2,4,2,1,2,2,2,3,1,2,1,2,3,3,1,4,4,4,3,1,3,2,2,3,1,2,2,1
